;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ПРАЙС-ЛИСТ НА 08.11.2021;;;;;;;;;;
МОСКВА- тел.+7(495)956-78-25, e-mail: fedor12volt@mail.ru;;;;;;;;;;
САНКТ-ПЕТЕРБУРГ- тел.+7(812)337-13-75, e-mail :alex12v@bk.ru;;;;;;;;;;
;Упаковка;Опт, руб.;РРЦ / INTERNET;Заказ,    шт.;Поступления                              Изменение цены;ССЫЛКА ;;;;
;;;;;;;;;;
Мобильные зарядные устройства в прикуриватель;;;;;;;;;;
NOKOKO  зарядное устройство USBx2 в прикуриватель;1 шт.;120.00р.;200.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3879/;;;;
Автомобильные охранные системы ;;;;;;;;;;
1.1 Охранные системы (односторонние);;;;;;;;;;
ALLIGATOR A1S;12 шт.;2,400.00р.;2,690.00р.;;Изменение цены с 15 октября!!!;http://www.master12volt.ru/products/avtosignalizatsii/3615/;;;;
ALLIGATOR A2S;12 шт.;2,350.00р.;2,790.00р.;;Изменение цены с 15 октября!!!;http://www.master12volt.ru/products/avtosignalizatsii/3616/;;;;
ALLIGATOR A3S;12 шт.;2,505.00р.;2,890.00р.;;Изменение цены с 15 октября!!!;http://www.master12volt.ru/products/avtosignalizatsii/3617/;;;;
ALLIGATOR А-LIGHT;12 шт.;2,205.00р.;2,490.00р.;;Изменение цены с 15 октября!!!;http://www.master12volt.ru/products/avtosignalizatsii/3882/;;;;
CENTURION 06 (силовый выход на Ц.З., без сирены);20 шт.;1,480.00р.;1,920.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/4444/;;;;
CENTURION 07 (силовый выход на Ц.З., без сирены);20 шт.;1,500.00р.;1,950.00р.;;ОЖИДАЕТСЯ!!!;http://www.master12volt.ru/products/centurion/4415/;;;;
DaVinci PHI 100 ;12 шт.;1,750.00р.;1,980.00р.;;;http://www.master12volt.ru/products/davinci/2831/;;;;
DaVinci PHI 130;12 шт.;1,850.00р.;2,080.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3297/;;;;
FIGHTER F-15 (комплект центрального замка с 2 брелками);20 шт;1,000.00р.;1,300.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5148/;;;;
FIGHTER F-30;20 шт;1,550.00р.;1,990.00р.;;Лучшее предложение!!!;http://www.master12volt.ru/products/avtosignalizatsii/5149/;;;;
TIGER SHARK TS-1115;20 шт;1,700.00р.;1,990.00р.;;Лучшее предложение!!!;http://www.master12volt.ru/products/tiger-shark1/4445/;;;;
1.2 Охранные системы c обратной связью (брелок  с ЖК-дисплеем) ;;;;;;;;;;
ALLIGATOR C-2C;12 шт.;4,615.00р.;5,590.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3646/;;;;
CENTURION X-6;10 шт.;3,890.00р.;4,690.00р.;;;http://www.master12volt.ru/products/centurion/2930/;;;;
FIGHTER F-60;10 шт.;3,750.00р.;4,400.00р.;;Лучшее предложение!!!;http://www.master12volt.ru/products/avtosignalizatsii/;;;;
TIGER SHARK TS-2018;10 шт.;3,600.00р.;4,590.00р.;;Лучшее предложение!!!;http://www.master12volt.ru/products/tiger-shark1/4844/;;;;
PANDECT X-1000BT;8 шт.;9,030.00р.;13,330.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandect_car_alarm/2949/;;;;
PANDORA DX 40S (без доп.брелка);8 шт.;8,480.00р.;10,780.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/4937/;;;;
PANDORA DX 40R (без доп.брелка);8 шт.;8,570.00р.;10,895.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5453/;;;;
PANDORA DX 6Х LoRa;8 шт.;11,025.00р.;13,070.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5454/;;;;
STARLINE  A67     ;10 шт.;12,150.00р.;17,350.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5549/;;;;
